name,lat,lon,odo1,odo2,odo3,hgt,odo
12130,24.04939842,72.39122123,36509,56585,56612,87,56612
12140,24.04950447,72.39124202,36556,56632,56660,87,56660
12150,24.0496101,72.39126298,36603,56679,56707,87,56707
12160,24.04971455,72.39128397,36647,56726,56754,87,56754
12170,24.04982023,72.39130513,36694,56773,56801,87,56801
12180,24.04992184,72.39132563,36739,56818,56846,87,56846
12190,24.05002316,72.39134584,36784,56863,56892,87,56892
12200,24.05012923,72.3913673,36830,56910,56939,87,56939
12210,24.05023107,72.39138871,36874,56956,56985,87,56985
12220,24.05033717,72.39141007,36921,57003,57032,87,57032
12230,24.05042611,72.39142865,36961,57043,57071,87,57071
12240,24.05053116,72.39145058,37008,57090,57118,87,57118
12250,24.0506368,72.39147238,37055,57137,57165,87,57165
12260,24.05074265,72.39149447,37102,57184,57213,87,57213
12270,24.05084876,72.39151646,37149,57231,57260,87,57260
12280,24.05095453,72.39153883,37196,57278,57307,87,57307
12290,24.05105566,72.39156016,37242,57324,57353,87,57353
12300,24.05116293,72.39158262,37288,57371,57401,87,57401
12310,24.05126843,72.39160442,37329,57419,57448,87,57448
